2025-03-04 20:38:01,626 | INFO | ModuloImagensSite | Imagens adicionadas ['./metin_images/50px-Metin_das_Florestas.png']
2025-03-04 20:38:01,627 | INFO | ModuloImagensSite | Imagens adicionadas ['./metin_images/50px-Metin_das_Florestas.png', './metin_images/50px-Metin_da_Alma.jpg']
2025-03-04 20:38:01,627 | INFO | ModuloImagensSite | Imagens adicionadas ['./metin_images/50px-Metin_das_Florestas.png', './metin_images/50px-Metin_da_Alma.jpg', './metin_images/50px-Metin_da_Arrog%C3%A2ncia.jpg']
2025-03-04 20:38:01,627 | INFO | ModuloImagensSite | Imagens adicionadas ['./metin_images/50px-Metin_das_Florestas.png', './metin_images/50px-Metin_da_Alma.jpg', './metin_images/50px-Metin_da_Arrog%C3%A2ncia.jpg', './metin_images/50px-Metin_da_Batalha.jpg']
2025-03-04 20:38:01,628 | INFO | ModuloImagensSite | Imagens adicionadas ['./metin_images/50px-Metin_das_Florestas.png', './metin_images/50px-Metin_da_Alma.jpg', './metin_images/50px-Metin_da_Arrog%C3%A2ncia.jpg', './metin_images/50px-Metin_da_Batalha.jpg', './metin_images/50px-Metin_da_Brasa.jpg']
2025-03-04 20:38:01,628 | INFO | ModuloImagensSite | Imagens adicionadas ['./metin_images/50px-Metin_das_Florestas.png', './metin_images/50px-Metin_da_Alma.jpg', './metin_images/50px-Metin_da_Arrog%C3%A2ncia.jpg', './metin_images/50px-Metin_da_Batalha.jpg', './metin_images/50px-Metin_da_Brasa.jpg', './metin_images/50px-Metin_da_Calamidade.jpg']
2025-03-04 20:38:01,628 | INFO | ModuloImagensSite | Imagens adicionadas ['./metin_images/50px-Metin_das_Florestas.png', './metin_images/50px-Metin_da_Alma.jpg', './metin_images/50px-Metin_da_Arrog%C3%A2ncia.jpg', './metin_images/50px-Metin_da_Batalha.jpg', './metin_images/50px-Metin_da_Brasa.jpg', './metin_images/50px-Metin_da_Calamidade.jpg', './metin_images/50px-Metin_da_Desforra.jpg']
2025-03-04 20:38:01,628 | INFO | ModuloImagensSite | Imagens adicionadas ['./metin_images/50px-Metin_das_Florestas.png', './metin_images/50px-Metin_da_Alma.jpg', './metin_images/50px-Metin_da_Arrog%C3%A2ncia.jpg', './metin_images/50px-Metin_da_Batalha.jpg', './metin_images/50px-Metin_da_Brasa.jpg', './metin_images/50px-Metin_da_Calamidade.jpg', './metin_images/50px-Metin_da_Desforra.jpg', './metin_images/50px-Metin_da_Dor.jpg']
2025-03-04 20:38:01,628 | INFO | ModuloImagensSite | Imagens adicionadas ['./metin_images/50px-Metin_das_Florestas.png', './metin_images/50px-Metin_da_Alma.jpg', './metin_images/50px-Metin_da_Arrog%C3%A2ncia.jpg', './metin_images/50px-Metin_da_Batalha.jpg', './metin_images/50px-Metin_da_Brasa.jpg', './metin_images/50px-Metin_da_Calamidade.jpg', './metin_images/50px-Metin_da_Desforra.jpg', './metin_images/50px-Metin_da_Dor.jpg', './metin_images/50px-Metin_da_Dureza.jpg']
2025-03-04 20:38:01,628 | INFO | ModuloImagensSite | Imagens adicionadas ['./metin_images/50px-Metin_das_Florestas.png', './metin_images/50px-Metin_da_Alma.jpg', './metin_images/50px-Metin_da_Arrog%C3%A2ncia.jpg', './metin_images/50px-Metin_da_Batalha.jpg', './metin_images/50px-Metin_da_Brasa.jpg', './metin_images/50px-Metin_da_Calamidade.jpg', './metin_images/50px-Metin_da_Desforra.jpg', './metin_images/50px-Metin_da_Dor.jpg', './metin_images/50px-Metin_da_Dureza.jpg', './metin_images/50px-Metin_da_Escurid%C3%A3o.jpg']
2025-03-04 20:38:01,628 | INFO | ModuloImagensSite | Imagens adicionadas ['./metin_images/50px-Metin_das_Florestas.png', './metin_images/50px-Metin_da_Alma.jpg', './metin_images/50px-Metin_da_Arrog%C3%A2ncia.jpg', './metin_images/50px-Metin_da_Batalha.jpg', './metin_images/50px-Metin_da_Brasa.jpg', './metin_images/50px-Metin_da_Calamidade.jpg', './metin_images/50px-Metin_da_Desforra.jpg', './metin_images/50px-Metin_da_Dor.jpg', './metin_images/50px-Metin_da_Dureza.jpg', './metin_images/50px-Metin_da_Escurid%C3%A3o.jpg', './metin_images/50px-Metin_da_F%C3%BAria.jpg']
