epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.4553,1.90134,5.67084,1.22198,0.00268,0.77083,0.00419,0.00181,1.89432,5.50959,1.11944,0.00014,0.00014,0.00014
2,166.824,1.88154,5.02003,1.10595,0.00304,0.875,0.03179,0.00762,1.76753,5.14574,1.06315,0.00029703,0.00029703,0.00029703
3,236.28,1.79042,3.63792,1.14525,0.00297,0.85417,0.11365,0.04084,1.78511,4.92717,1.08704,0.000450892,0.000450892,0.000450892
4,311.526,1.77553,2.8153,1.12647,0.00268,0.77083,0.04985,0.01747,1.76336,5.02576,1.11625,0.000601586,0.000601586,0.000601586
5,386.297,1.77258,2.70661,1.12913,0.00203,0.58333,0.02778,0.00387,1.86263,5.27279,1.16432,0.000749112,0.000749112,0.000749112
6,458.788,1.89246,4.0816,1.11361,0.00268,0.77083,0.00737,0.00348,1.79093,4.88561,1.10751,0.00089347,0.00089347,0.00089347
7,535.129,1.89283,3.45461,1.10893,0.0029,0.83333,0.00833,0.00402,1.80256,4.79041,1.12276,0.00103466,0.00103466,0.00103466
8,605.323,1.64141,2.60272,1.15242,0.00275,0.79167,0.14255,0.05837,1.70682,4.55105,1.1249,0.00117268,0.00117268,0.00117268
9,682.033,1.76251,2.62992,1.16917,0.00261,0.75,0.16541,0.06812,1.76329,4.65041,1.15947,0.00130754,0.00130754,0.00130754
10,765.58,1.91096,2.3778,1.22232,0.80293,0.25488,0.35448,0.15115,1.97691,4.39909,1.26266,0.00143922,0.00143922,0.00143922
11,838.743,1.66752,2.21117,1.14502,0.91946,0.23823,0.4938,0.17657,2.23764,3.9365,1.44766,0.00156774,0.00156774,0.00156774
12,914.064,1.74669,2.54211,1.11167,1,0.23769,0.53079,0.21754,2.21141,3.67916,1.35444,0.00169309,0.00169309,0.00169309
13,989.752,1.79931,2.2342,1.17564,0.79981,0.41618,0.57011,0.19266,2.13487,3.44443,1.38093,0.0017624,0.0017624,0.0017624
14,1062.12,1.6363,1.9091,1.21115,0.93945,0.32357,0.61575,0.2362,2.12168,3.32462,1.45108,0.0017426,0.0017426,0.0017426
15,1136.79,1.77738,2.02244,1.24379,0.94225,0.67999,0.79788,0.29897,2.10614,2.66784,1.49675,0.0017228,0.0017228,0.0017228
16,1203.93,1.61743,1.86503,1.13831,0.87642,0.7389,0.83156,0.32844,1.9436,2.45593,1.41203,0.001703,0.001703,0.001703
17,1270.18,1.55442,1.68215,1.11741,0.87413,0.72353,0.79174,0.29844,2.08303,2.18454,1.47209,0.0016832,0.0016832,0.0016832
18,1335.22,1.87373,2.07021,1.11643,0.85501,0.75,0.7767,0.31779,2.11621,2.12247,1.41349,0.0016634,0.0016634,0.0016634
19,1400.12,1.58175,1.57377,1.09747,0.75711,0.75,0.72242,0.29566,2.0863,1.8498,1.46784,0.0016436,0.0016436,0.0016436
20,1466.38,1.57788,1.62839,1.09447,0.83065,0.71542,0.75918,0.32548,1.9875,1.76951,1.38394,0.0016238,0.0016238,0.0016238
21,1531.76,1.49083,1.45357,1.06786,0.87216,0.75,0.76795,0.34507,1.95452,1.92681,1.36779,0.001604,0.001604,0.001604
22,1596.53,1.72301,1.59681,1.21318,0.85432,0.73313,0.7795,0.35725,1.89561,1.90087,1.34267,0.0015842,0.0015842,0.0015842
23,1661.34,1.52938,1.40459,1.05942,0.76524,0.64583,0.67858,0.27331,2.02106,2.1716,1.38978,0.0015644,0.0015644,0.0015644
24,1727.59,1.50445,1.59231,1.03008,0.87263,0.75,0.77362,0.31363,2.09982,1.58737,1.40626,0.0015446,0.0015446,0.0015446
25,1792.3,1.50091,1.31014,1.06269,0.8576,0.72917,0.79664,0.34071,2.07228,1.75516,1.38,0.0015248,0.0015248,0.0015248
26,1858.07,1.45295,1.26632,1.05441,0.86314,0.78843,0.73444,0.31076,2.03687,1.59938,1.36559,0.001505,0.001505,0.001505
27,1923.37,1.31934,2.0378,0.94961,0.83703,0.75,0.71289,0.28851,2.09327,1.55814,1.42777,0.0014852,0.0014852,0.0014852
28,1988.2,1.43766,1.20004,1.04108,0.83265,0.83333,0.7869,0.32836,2.03021,1.48984,1.46072,0.0014654,0.0014654,0.0014654
29,2053.33,1.4099,1.2375,1.08425,0.85596,0.77083,0.79111,0.32874,2.00788,1.49985,1.41805,0.0014456,0.0014456,0.0014456
30,2118.27,1.4673,1.17271,1.08844,0.86371,0.75,0.75992,0.36109,1.94979,1.55524,1.32749,0.0014258,0.0014258,0.0014258
31,2184.29,1.49501,1.20866,1.07179,0.9265,0.78793,0.82131,0.35503,1.9584,1.50099,1.35246,0.001406,0.001406,0.001406
32,2249.57,1.68362,1.29748,1.15133,0.91451,0.79167,0.77925,0.37388,1.96345,1.44624,1.34103,0.0013862,0.0013862,0.0013862
33,2315.5,1.37205,1.06417,1.07897,0.86575,0.80617,0.77953,0.341,2.01384,1.44187,1.33128,0.0013664,0.0013664,0.0013664
34,2381.28,1.3771,1.04036,1.09636,0.90203,0.76736,0.79086,0.36627,1.9709,1.36424,1.31297,0.0013466,0.0013466,0.0013466
35,2446.67,1.28724,1.0081,1.02325,0.9169,0.77083,0.81928,0.37914,1.97774,1.3269,1.27828,0.0013268,0.0013268,0.0013268
36,2511.93,1.218,1.36044,0.93854,0.89508,0.79167,0.82407,0.3637,2.01403,1.28376,1.33062,0.001307,0.001307,0.001307
37,2576.38,1.33659,0.99206,1.05394,0.94136,0.77083,0.82912,0.3763,2.01959,1.26347,1.33693,0.0012872,0.0012872,0.0012872
38,2640.74,1.22609,0.94069,0.98747,0.90461,0.79167,0.82715,0.33306,2.02668,1.20501,1.35786,0.0012674,0.0012674,0.0012674
39,2706.71,1.2191,0.93033,1.02415,0.88488,0.80082,0.83651,0.37495,1.89483,1.11995,1.28482,0.0012476,0.0012476,0.0012476
40,2771.44,1.32293,0.95405,1.02415,0.94399,0.77083,0.80324,0.37926,1.86859,1.26218,1.3167,0.0012278,0.0012278,0.0012278
41,2836.88,1.35252,0.95854,1.03694,0.9194,0.77083,0.78937,0.34366,1.93337,1.17533,1.32321,0.001208,0.001208,0.001208
42,2900.93,1.35856,0.98338,1.00665,0.89914,0.77083,0.7945,0.32043,1.96452,1.20572,1.3298,0.0011882,0.0011882,0.0011882
43,2967.73,1.31411,0.92005,0.99566,0.90549,0.79855,0.83881,0.35077,1.93791,1.27776,1.29582,0.0011684,0.0011684,0.0011684
44,3045.75,1.15359,0.87012,0.95825,0.9018,0.79167,0.83389,0.37237,1.96401,1.20909,1.32295,0.0011486,0.0011486,0.0011486
45,3125.71,1.26894,1.01836,0.99358,0.89941,0.79167,0.82085,0.3613,1.93099,1.15378,1.32918,0.0011288,0.0011288,0.0011288
46,3202.85,1.3104,0.92733,1.02506,0.89816,0.79167,0.83611,0.35926,1.96045,1.18467,1.35759,0.001109,0.001109,0.001109
47,3273.94,1.20544,0.86153,1.0067,0.92672,0.79044,0.83338,0.37628,1.97752,1.22919,1.31358,0.0010892,0.0010892,0.0010892
48,3345.42,1.27458,0.90422,1.00533,0.90681,0.81091,0.81511,0.38104,1.92265,1.19003,1.30873,0.0010694,0.0010694,0.0010694
49,3415.93,1.22493,0.86782,0.98016,0.96942,0.85417,0.86729,0.38406,1.9453,1.12073,1.37235,0.0010496,0.0010496,0.0010496
50,3487.81,1.23935,0.82373,0.96897,0.96239,0.8125,0.84503,0.37589,1.95482,1.07925,1.37601,0.0010298,0.0010298,0.0010298
51,3558.1,1.211,0.80637,1.02869,0.97477,0.80486,0.85099,0.37789,1.95088,1.0775,1.35234,0.00101,0.00101,0.00101
52,3628.41,1.23512,0.79431,1.01227,0.86361,0.79167,0.7954,0.35738,2.00777,1.11352,1.35804,0.0009902,0.0009902,0.0009902
