epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2382,2.06889,5.62209,1.27669,0.00224,0.64815,0.00371,0.00144,1.898,5.17277,1.0994,0.00012,0.00012,0.00012
2,106.08,1.99178,4.67419,1.06478,0.00218,0.62963,0.00482,0.00157,2.05314,5.11675,1.17494,0.00025532,0.00025532,0.00025532
3,156.654,1.87394,3.33438,1.04845,0.00135,0.38889,0.00165,0.00041,2.06524,5.18524,1.25786,0.0003856,0.0003856,0.0003856
4,204.328,1.82551,2.78394,1.10016,0.00109,0.31481,0.00138,0.00038,2.15924,5.1552,1.31255,0.00051084,0.00051084,0.00051084
5,250.799,1.87363,2.82875,1.10706,0.00168,0.48148,0.00239,0.00084,2.03699,4.91009,1.15254,0.00063104,0.00063104,0.00063104
6,295.445,1.81556,2.4598,1.09831,0.00173,0.5,0.00247,0.00079,1.95608,4.82139,1.13498,0.0007462,0.0007462,0.0007462
7,347.156,1.84503,2.41681,1.09998,0.00122,0.35185,0.00104,0.00042,2.01929,4.85171,1.17844,0.00085632,0.00085632,0.00085632
8,398.078,1.81412,2.56821,1.11638,0.00205,0.59259,0.02005,0.008,2.00456,4.40155,1.19377,0.0009614,0.0009614,0.0009614
9,447.544,1.83849,2.17512,1.09128,0.00256,0.74074,0.2165,0.08136,1.99539,4.08383,1.22088,0.00106144,0.00106144,0.00106144
10,495.423,1.80728,2.21265,1.07492,0.00256,0.74074,0.26087,0.1168,1.98487,3.97928,1.23461,0.00115644,0.00115644,0.00115644
11,541.669,1.80168,2.08676,1.1479,0.59405,0.10863,0.14188,0.06239,1.90417,4.15919,1.17717,0.0012464,0.0012464,0.0012464
12,592.099,1.73334,2.20214,1.06024,1,0.06754,0.27205,0.12797,2.00824,3.80185,1.212,0.00133132,0.00133132,0.00133132
13,644.269,1.65537,1.83263,1.08888,0.89129,0.09259,0.35853,0.17672,1.93479,3.67197,1.18666,0.0014112,0.0014112,0.0014112
14,692.799,1.71345,2.00247,1.12555,0.9124,0.3859,0.64823,0.31061,1.85514,3.06636,1.1605,0.00148604,0.00148604,0.00148604
15,743.603,1.61383,1.68956,1.06556,0.92361,0.44794,0.60787,0.26369,1.85124,2.9843,1.13654,0.001496,0.001496,0.001496
16,789.792,1.61211,1.65701,1.02553,0.96608,0.52764,0.68139,0.30251,1.9484,3.00664,1.15027,0.00146,0.00146,0.00146
17,833.605,1.71103,1.85123,1.10729,0.96555,0.51911,0.7215,0.33976,1.8512,2.91013,1.17606,0.001424,0.001424,0.001424
18,880.875,1.64253,1.89776,1.1218,0.97147,0.63054,0.80376,0.37181,1.87118,2.67955,1.17599,0.001388,0.001388,0.001388
19,928.154,1.55082,1.56508,1.03619,0.83818,0.57555,0.71267,0.2977,2.06809,2.60095,1.27914,0.001352,0.001352,0.001352
